,Power
2018-06-08 05:45:00,70.02
2018-06-08 06:00:00,71.03
2018-06-08 06:15:00,71.5
2018-06-08 06:30:00,72.32
2018-06-08 06:45:00,72.79
2018-06-08 07:00:00,72.68
2018-06-08 07:15:00,74.74
2018-06-08 07:30:00,77.9
2018-06-08 07:45:00,77.54
2018-06-08 08:00:00,79.2
2018-06-08 08:15:00,79.27
2018-06-08 08:30:00,79.56
2018-06-08 08:45:00,79.52
2018-06-08 09:00:00,75.35
2018-06-08 09:15:00,74.95
2018-06-08 09:30:00,73.12
2018-06-08 09:45:00,74.09
2018-06-08 10:00:00,83.77
2018-06-08 10:15:00,86.0
2018-06-08 10:30:00,87.34
2018-06-08 10:45:00,87.88
2018-06-08 11:00:00,87.26
2018-06-08 11:15:00,87.62
2018-06-08 11:30:00,86.54
2018-06-08 11:45:00,85.79
2018-06-08 12:00:00,87.12
2018-06-08 12:15:00,86.22
2018-06-08 12:30:00,83.23
2018-06-08 12:45:00,86.4
2018-06-08 13:00:00,83.41
2018-06-08 13:15:00,84.13
2018-06-08 13:30:00,83.12
2018-06-08 13:45:00,84.53
2018-06-08 14:00:00,84.56
2018-06-08 14:15:00,83.84
2018-06-08 14:30:00,85.97
2018-06-08 14:45:00,85.64
2018-06-08 15:00:00,84.89
2018-06-08 15:15:00,84.85
2018-06-08 15:30:00,86.47
2018-06-08 15:45:00,86.18
2018-06-08 16:00:00,84.56
2018-06-08 16:15:00,75.82
2018-06-08 16:30:00,73.55
2018-06-08 16:45:00,74.38
2018-06-08 17:00:00,74.81
2018-06-08 17:15:00,74.56
2018-06-08 17:30:00,75.13
2018-06-08 17:45:00,75.46
2018-06-08 18:00:00,76.61
2018-06-08 18:15:00,77.76
2018-06-08 18:30:00,74.77
2018-06-08 18:45:00,74.09
2018-06-08 19:00:00,74.27
2018-06-08 19:15:00,73.66
2018-06-08 19:30:00,75.02
2018-06-08 19:45:00,75.6
2018-06-08 20:00:00,74.88
2018-06-08 20:15:00,74.99
2018-06-08 20:30:00,74.99
2018-06-08 20:45:00,74.38
2018-06-08 21:00:00,73.84
2018-06-08 21:15:00,73.94
2018-06-08 21:30:00,73.48
2018-06-08 21:45:00,73.04
2018-06-08 22:00:00,71.6
2018-06-08 22:15:00,71.06
2018-06-08 22:30:00,71.93
2018-06-08 22:45:00,72.11
2018-06-08 23:00:00,72.32
2018-06-08 23:15:00,72.68
2018-06-08 23:30:00,70.92
2018-06-08 23:45:00,70.96
2018-06-09 00:00:00,72.47
2018-06-09 00:15:00,72.4
2018-06-09 00:30:00,70.16
2018-06-09 00:45:00,69.84
2018-06-09 01:00:00,72.36
2018-06-09 01:15:00,72.65
2018-06-09 01:30:00,70.99
2018-06-09 01:45:00,70.74
2018-06-09 02:00:00,71.86
2018-06-09 02:15:00,72.18
2018-06-09 02:30:00,70.31
2018-06-09 02:45:00,71.1
2018-06-09 03:00:00,72.04
2018-06-09 03:15:00,71.78
2018-06-09 03:30:00,70.56
2018-06-09 03:45:00,70.88
